env_id,mean_episode_length
0,88.73
1,246.0
2,270.0
3,286.5
4,101.56
5,1000.0
6,362.0
7,78.75
8,104.44
9,307.67
10,108.67
11,264.0
12,1000.0
13,1000.0
14,1000.0
15,122.25
16,1000.0
17,1000.0
18,1000.0
19,1000.0
20,250.5
21,280.33
22,1000.0
23,1000.0
24,1000.0
25,281.0
26,98.9
27,177.0
28,165.5
29,107.44
30,1000.0
31,291.0
32,1000.0
33,87.0
34,1000.0
35,260.0
36,82.5
37,114.75
38,282.33
39,321.0
40,134.29
41,1000.0
42,1000.0
43,123.62
44,1000.0
45,148.67
46,152.0
47,109.67
48,110.67
49,85.0
50,1000.0
51,214.75
52,1000.0
53,320.67
54,1000.0
55,111.88
56,264.33
57,257.0
58,310.0
59,308.33
60,95.1
61,80.5
62,1000.0
63,1000.0
64,136.86
65,1000.0
66,295.0
67,1000.0
68,301.33
69,1000.0
70,110.62
71,362.5
72,81.92
73,278.0
74,321.0
75,97.6
76,1000.0
77,1000.0
78,348.0
79,101.67
80,1000.0
81,402.5
82,1000.0
83,268.0
84,1000.0
85,207.0
86,73.62
87,155.17
